Month,Opening Date,Title,Production Company,Genre
MAY,10,The Last Stop in Yuma County,Well Go USA Entertainment,"Mystery,Thriller,Crime,Drama"
MAY,10,The Image of You,Republic Pictures,"Mystery,Thriller"
MAY,10,Gasoline Rainbow,Mubi/XTR,"Adventure,Documentary,Drama"
MAY,10,Aggro Dr1ft,EDGLRD,"Crime,Drama,Action"
MAY,17,IF,Paramount Pictures/Sunday Night Productions/Maximum Effort,"Kids & Family,Comedy,Drama,Fantasy"
MAY,17,The Strangers: Chapter 1,Lionsgate,"Horror,Mystery,Thriller"
MAY,17,Back to Black,Focus Features/StudioCanal/Monumental Pictures,"Biography,Drama,Music"
MAY,17,Thelma the Unicorn,Netflix/Netflix Animation/Scholastic Entertainment,"Kids & Family,Comedy,Animation"
MAY,17,Babes,Neon/FilmNation Entertainment,Comedy
MAY,17,You Can't Run Forever,Lionsgate/Voltage Pictures,"Mystery,Thriller"
MAY,17,The American,Vertical/Anonymous Content,"Drama,Mystery,Thriller"
MAY,21,Darkness of Man,Saban Films,"Action,Mystery,Thriller"
MAY,21,Dead Wrong,Mill Creek Entertainment,"Drama,Crime,Mystery,Thriller"
MAY,24,The Garfield Movie,Columbia Pictures/Alcon Entertainment/Prime Focus/One Cool Group/Wayfarer Studios/Stage 6 Films,"Kids & Family,Comedy,Adventure,Animation"
MAY,24,Furiosa: A Mad Max Saga,Warner Bros. Pictures/Kennedy Miller Mitchell,"Action,Adventure,Sci-Fi"
MAY,24,Atlas,Netflix/Nuyorican Productions/Berlanti-Schechter Films,"Sci-Fi,Action,Adventure"
MAY,24,Hit Man,Netflix/Aggregate Films/AGC Studios,"Romance,Comedy,Action,Crime,Mystery,Thriller"
MAY,24,Sight,Angel Studios,"Biography,Drama"
MAY,24,The Keeper,Lama Entertainment,"Biography,Drama,Romance"
MAY,24,Kidnapped,IBC Movie,"History,Drama"
MAY,28,The Legend of Catclaws Mountain,Lionsgate Home Entertainment,Drama
MAY,31,Young Woman and the Sea,Walt Disney Pictures/Jerry Bruckheimer Films,"Biography,History,Drama"
MAY,31,Ezra,Bleecker Street/Wayfarer Studios,"Comedy,Drama"
MAY,31,Summer Camp,Roadside Attractions,Comedy
MAY,31,The Young Wife,Republic Pictures/FilmNation Entertainment,Drama
MAY,31,The Great Lillian Hall,HBO Films/Max,Drama
MAY,31,Shadow Land,Paramount Pictures,"Mystery,Thriller"
MAY,31,Backspot,XYZ Films,"Drama,Sports"
MAY,31,What You Wish For,Magnolia Pictures,"Mystery,Thriller"
MAY,31,Protocol-7,Abramorama,"Drama,Mystery,Thriller"
MAY,31,Deer Camp '86,Panoramic Pictures,"Horror,Mystery,Thriller,Comedy"
MAY,31,In a Violent Nature,Shudder/IFC Films,"Horror,Mystery,Thriller"
MAY,31,Haikyu!! The Dumpster Battle,Toho,"Drama,Anime,Comedy"
MAY,31,Jim Henson: Idea Man,Disney+,"Documentary,Biography"
MAY,31,Robot Dreams,Wild Bunch,"Kids & Family,Drama,Music,Animation"
MAY,31,The Dead Don't Hurt,Talipot Studio/Recorded Picture Company,"Western,Drama,Romance"
JUNE,5,Boneyard,Lionsgate,"Mystery,Thriller,Crime,Drama"
JUNE,6,Am I OK?,Max/Warner Bros. Pictures/Gloria Sanchez Productions,"Romance,Comedy,Drama"
JUNE,7,Bad Boys: Ride or Die,Columbia Pictures/Jerry Bruckheimer Films/Westbrook Studios/TSG Entertainment,"Action,Comedy"
JUNE,7,The Watchers,Warner Bros. Pictures/New Line Cinema/Blinding Edge Pictures,"Horror,Mystery,Thriller"
JUNE,7,Tuesday,A24/BBC Film/BFI/Cinereach,"Sci-Fi,Fantasy,Drama,Horror,Mystery,Thriller"
JUNE,7,Longing,Lionsgate/Scythia Films,Drama
JUNE,7,Late Bloomers,Vertical,Drama
JUNE,7,Trim Season,Blue Harbor Entertainment,"Horror,Mystery,Thriller"
JUNE,7,Life After Fighting,Vertical,"Action,Drama,Mystery,Thriller"
JUNE,12,Mysteries of the Terracotta Warriors,Netflix,"Documentary,History"
JUNE,12,Ultraman: Rising, Netflix,"Kids & Family,Adventure,Action,Sci-Fi,Fantasy,Animation,Anime"
JUNE,11,Killer of Men,Quiver Distribution,"Mystery,Thriller,Crime,Drama"
JUNE,14,Inside Out 2,Walt Disney Pictures/Pixar Animation Studios,"Kids & Family,Comedy,Adventure,Animation"
JUNE,14,Ultraman: Rising,Netflix/Netflix Animation/Tsuburaya Productions,"Kids & Family,Adventure,Action,Sci-Fi,Fantasy,Animation,Anime"
JUNE,14,Reverse the Curse,Vertical,"Comedy,Drama,Romance"
JUNE,14,Tiger Stripes,Ghost Grrrl Pictures,Horror
JUNE,14,Treasure,Bleecked Street/Alamode Film,"Comedy,Drama"
JUNE,14,The Present,Gravitas Ventures/AGC Studios,"Comedy,Fantasy,Drama,Romance,Sci-Fi"
JUNE,14,Ghostlight,IFC Films,"Comedy,Drama"
JUNE,14,Fresh Kills,Quiver Distribution,"Crime,Drama,Mystery,Thriller"
JUNE,14,Ride,Well Go USA Entertainment,"Crime,Drama,Mystery,Thriller"
JUNE,14,Latency,Lionsgate,"Sci-Fi,Mystery,Thriller"
JUNE,17,I Am: Celine Dion,Amazon MGM Studios,"Documentary,Biography,Music"
JUNE,18,Outstanding: A Comedy Revolution,Netflix,"Documentary,LGBTQ+,Comedy"
JUNE,19,Black Barbie: A Documentary,Netflix,Documentary
JUNE,20,The Convert,Jump Film & Television,"Drama,Action"
JUNE,21,The Bikeriders,Focus Features/Regency Enterprises,"Crime,Drama"
JUNE,21,Kinds of Kindness,Searchlight Pictures/Film4/Element Pictures/TSG Entertainment,"Comedy,Drama"
JUNE,21,The Exorcism,Vertical/Miramax/Outerbanks Entertainment,"Horror,Mystery,Thriller"
JUNE,21,Fancy Dance,Apple TV+/Significant Productions,Drama
